departamento,provincia,distrito,codigo_postal,z
Amazonas,Chachapoyas,Chachapoyas,1001,2
Amazonas,Chachapoyas,Chachapoyas,1000,2
Amazonas,Chachapoyas,Asunción,1230,2
Amazonas,Chachapoyas,Balsas,1475,2
Amazonas,Chachapoyas,Cheto,1315,2
Amazonas,Chachapoyas,Chiliquin,1220,2
Amazonas,Chachapoyas,Chuquibamba,1470,2
Amazonas,Chachapoyas,Granada,1200,2
Amazonas,Chachapoyas,Huancas,1000,2
Amazonas,Chachapoyas,La Jalca,1441,2
Amazonas,Chachapoyas,La Jalca,1440,2
Amazonas,Chachapoyas,Leimebamba,1465,2
Amazonas,Chachapoyas,Levanto,1400,2
Amazonas,Chachapoyas,Magdalena,1410,2
Amazonas,Chachapoyas,Mariscal Castilla,1455,2
Amazonas,Chachapoyas,Molinopampa,1320,2
Amazonas,Chachapoyas,Montevideo,1460,2
Amazonas,Chachapoyas,Olleros,1280,2
Amazonas,Chachapoyas,Quinjalca,1210,2
Amazonas,Chachapoyas,San Francisco de Daguas,1310,2
Amazonas,Chachapoyas,San Isidro de Maino,1405,2
Amazonas,Chachapoyas,Soloco,1305,2
Amazonas,Chachapoyas,Sonche,1300,2
Amazonas,Bagua,Bagua,1721,2
Amazonas,Bagua,Bagua,1720,2
Amazonas,Bagua,Aramango,1801,2
Amazonas,Bagua,Aramango,1800,2
Amazonas,Bagua,Copallin,1711,2
Amazonas,Bagua,Copallin,1710,2
Amazonas,Bagua,El Parco,1730,2
Amazonas,Bagua,Imaza,1811,2
Amazonas,Bagua,Imaza,1810,2
Amazonas,Bagua,La Peca,1740,2
Amazonas,Bagua,La Peca,1741,2
Amazonas,Bongara,Jumbilla,1250,2
Amazonas,Bongara,Chisquilla,1260,2
Amazonas,Bongara,Churuja,1110,2
Amazonas,Bongara,Corosha,1270,2
Amazonas,Bongara,Cuispes,1140,2
Amazonas,Bongara,Florida,1151,2
Amazonas,Bongara,Florida,1150,2
Amazonas,Bongara,Jazan,1131,2
Amazonas,Bongara,Jazan,1130,2
Amazonas,Bongara,Recta,1240,2
Amazonas,Bongara,San Carlos,1120,2
Amazonas,Bongara,Shipasbamba,1600,2
Amazonas,Bongara,Valera,1100,2
Amazonas,Bongara,Yambrasbamba,1161,2
Amazonas,Bongara,Yambrasbamba,1160,2
Amazonas,Condorcanqui,Nieva,1831,2
Amazonas,Condorcanqui,Nieva,1830,2
Amazonas,Condorcanqui,El Cenepa,1821,2
Amazonas,Condorcanqui,El Cenepa,1820,2
Amazonas,Condorcanqui,Río Santiago,1841,2
Amazonas,Condorcanqui,Río Santiago,1840,2
Amazonas,Luya,Lamud,1515,2
Amazonas,Luya,Camporredondo,1551,2
Amazonas,Luya,Camporredondo,1550,2
Amazonas,Luya,Cocabamba,1480,2
Amazonas,Luya,Colcamar,1420,2
Amazonas,Luya,Conila,1530,2
Amazonas,Luya,Inguilpata,1505,2
Amazonas,Luya,Longuita,1425,2
Amazonas,Luya,Lonya Chico,1500,2
Amazonas,Luya,Luya,1510,2
Amazonas,Luya,Luya Viejo,1575,2
Amazonas,Luya,María,1430,2
Amazonas,Luya,Ocalli,1545,2
Amazonas,Luya,Ocumal,1535,2
Amazonas,Luya,Pisuquia,1486,2
Amazonas,Luya,Pisuquia,1485,2
Amazonas,Luya,Providencia,1540,2
Amazonas,Luya,San Cristobal,1520,2
Amazonas,Luya,San Francisco del Yeso,1450,2
Amazonas,Luya,San Jerónimo,1525,2
Amazonas,Luya,San Juan de Lopecancha,1435,2
Amazonas,Luya,Santa Catalina,1580,2
Amazonas,Luya,Santo Tomas,1445,2
Amazonas,Luya,Tingo,1415,2
Amazonas,Luya,Trita,1570,2
Amazonas,Rodriguez de Mendoza,San Nicolas,1335,2
Amazonas,Rodriguez de Mendoza,Chirimoto,1380,2
Amazonas,Rodriguez de Mendoza,Cochamal,1350,2
Amazonas,Rodriguez de Mendoza,Huambo,1355,2
Amazonas,Rodriguez de Mendoza,Limabamba,1370,2
Amazonas,Rodriguez de Mendoza,Longar,1345,2
Amazonas,Rodriguez de Mendoza,Mariscal Benavides,1330,2
Amazonas,Rodriguez de Mendoza,Milpuc,1375,2
Amazonas,Rodriguez de Mendoza,Omia,1341,2
Amazonas,Rodriguez de Mendoza,Omia,1340,2
Amazonas,Rodriguez de Mendoza,Santa Rosa,1360,2
Amazonas,Rodriguez de Mendoza,Totora,1365,2
Amazonas,Rodriguez de Mendoza,Vista Alegre,1325,3
Amazonas,Utcubamba,Bagua Grande,1621,2
Amazonas,Utcubamba,Bagua Grande,1620,2
Amazonas,Utcubamba,Cajaruro,1701,2
Amazonas,Utcubamba,Cajaruro,1700,2
Amazonas,Utcubamba,Cumba,1566,2
Amazonas,Utcubamba,Cumba,1565,2
Amazonas,Utcubamba,El Milagro,1631,2
Amazonas,Utcubamba,El Milagro,1630,2
Amazonas,Utcubamba,Jamalca,1611,2
Amazonas,Utcubamba,Jamalca,1610,2
Amazonas,Utcubamba,Lonya Grande,1556,2
Amazonas,Utcubamba,Lonya Grande,1555,2
Amazonas,Utcubamba,Yamón,1560,2
Ancash,Huaraz,Huaraz,2001,3
Ancash,Huaraz,Huaraz,2002,3
Ancash,Huaraz,Huaraz,2000,3
Ancash,Huaraz,Cochabamba,2690,3
Ancash,Huaraz,Colcabamba,2695,3
Ancash,Huaraz,Huanchay,2607,3
Ancash,Huaraz,Independencia,2002,3
Ancash,Huaraz,Independencia,2000,3
Ancash,Huaraz,Jangas,2100,3
Ancash,Huaraz,La Libertad,2603,3
Ancash,Huaraz,Olleros,2400,3
Ancash,Huaraz,Pampas,2605,3
Ancash,Huaraz,Pariacoto,2685,3
Ancash,Huaraz,Pira,2600,3
Ancash,Huaraz,Tarica,2119,3
Ancash,Huaraz,Tarica,2120,3
Ancash,Aija,Aija,2610,3
Ancash,Aija,Coris,2621,3
Ancash,Aija,Huacllan,2625,4
Ancash,Aija,La Merced,2613,4
Ancash,Aija,Succha,2616,4
Ancash,Antonio Raymondi,Llamellin,2345,2
Ancash,Antonio Raymondi,Aczo,2340,3
Ancash,Antonio Raymondi,Chaccho,2348,2
Ancash,Antonio Raymondi,Chingas,2342,2
Ancash,Antonio Raymondi,Mirgas,2352,3
Ancash,Antonio Raymondi,Mirgas,2350,3
Ancash,Antonio Raymondi,San Juan de Rontoy,2335,3
Ancash,Asunción,Chacas,2318,3
Ancash,Asunción,Chacas,2315,3
Ancash,Asunción,Acochaca,2314,3
Ancash,Bolognesi,Chiquian,2413,3
Ancash,Bolognesi,Abelardo Pardo Lezameta,2435,3
Ancash,Bolognesi,Antonio Raymondi,2489,3
Ancash,Bolognesi,Aquía,2420,3
Ancash,Bolognesi,Cajacay,2485,3
Ancash,Bolognesi,Canis,2445,3
Ancash,Bolognesi,Colquioc,2500,3
Ancash,Bolognesi,Huallanca,2422,3
Ancash,Bolognesi,Huallanca,2425,3
Ancash,Bolognesi,Huasta,2415,3
Ancash,Bolognesi,Huayllacayan,2510,3
Ancash,Bolognesi,La Primavera,2440,3
Ancash,Bolognesi,Mangas,2441,3
Ancash,Bolognesi,Pacllon,2426,3
Ancash,Bolognesi,San Miguel de Corpanqui,2432,3
Ancash,Bolognesi,Ticllos,2430,3
Ancash,Carhuaz,Carhuaz,2127,3
Ancash,Carhuaz,Carhuaz,2125,3
Ancash,Carhuaz,Acopampa,2123,3
Ancash,Carhuaz,Amashca,2130,3
Ancash,Carhuaz,Anta,2105,3
Ancash,Carhuaz,Ataquero,2139,3
Ancash,Carhuaz,Marcara,2109,3
Ancash,Carhuaz,Marcara,2110,3
Ancash,Carhuaz,Pariahuanca,2113,3
Ancash,Carhuaz,San Miguel de Aco,2115,3
Ancash,Carhuaz,Shilla,2133,3
Ancash,Carhuaz,Tinco,2135,3
Ancash,Carhuaz,Yungar,2103,3
Ancash,Carlos Fermín Fitzcarrald,San Luis,2311,3
Ancash,Carlos Fermín Fitzcarrald,San Luis,2310,3
Ancash,Carlos Fermín Fitzcarrald,San Nicolas,2285,3
Ancash,Carlos Fermín Fitzcarrald,Yauya,2283,3
Ancash,Carlos Fermín Fitzcarrald,Yauya,2280,3
Ancash,Casma,Casma,2661,4
Ancash,Casma,Casma,2660,4
Ancash,Casma,Buena Vista Alta,2670,4
Ancash,Casma,Comandante Noel,2665,4
Ancash,Casma,Yautan,2681,4
Ancash,Casma,Yautan,2680,4
Ancash,Corongo,Corongo,2218,3
Ancash,Corongo,Aco,2215,3
Ancash,Corongo,Bambas,2205,3
Ancash,Corongo,Cusca,2210,3
Ancash,Corongo,La Pampa,2200,3
Ancash,Corongo,Yanac,2209,3
Ancash,Corongo,Yupan,2203,3
Ancash,Huari,Huari,2304,3
Ancash,Huari,Huari,2303,3
Ancash,Huari,Anra,2358,2
Ancash,Huari,Cajay,2305,3
Ancash,Huari,Chavín de Huantar,2396,3
Ancash,Huari,Chavín de Huantar,2395,3
Ancash,Huari,Huacachi,2355,2
Ancash,Huari,Huacchis,2380,2
Ancash,Huari,Huachis,2320,2
Ancash,Huari,Huantar,2300,3
Ancash,Huari,Masin,2324,3
Ancash,Huari,Paucas,2375,2
Ancash,Huari,Ponto,2330,3
Ancash,Huari,Rahuapampa,2325,3
Ancash,Huari,Rapayan,2385,2
Ancash,Huari,San Marcos,2391,3
Ancash,Huari,San Marcos,2390,3
Ancash,Huari,San Pedro de Chana,2333,3
Ancash,Huari,Uco,2370,2
Ancash,Huarmey,Huarmey,2651,4
Ancash,Huarmey,Huarmey,2650,4
Ancash,Huarmey,Cochapeti,2630,3
Ancash,Huarmey,Culebras,2655,4
Ancash,Huarmey,Huayán,2618,3
Ancash,Huarmey,Malvas,2627,3
Ancash,Huaylas,Caraz,2167,3
Ancash,Huaylas,Caraz,2165,3
Ancash,Huaylas,Huallanca,2193,3
Ancash,Huaylas,Huata,2175,3
Ancash,Huaylas,Huaylas,2185,3
Ancash,Huaylas,Mato,2184,3
Ancash,Huaylas,Pamparomas,2181,3
Ancash,Huaylas,Pamparomas,2180,3
Ancash,Huaylas,Pueblo Libre,2171,3
Ancash,Huaylas,Pueblo Libre,2170,3
Ancash,Huaylas,Santa Cruz,2174,3
Ancash,Huaylas,Santo Toribio,2190,3
Ancash,Huaylas,Yuracmarca,2195,3
Ancash,Mariscal Luzuriaga,Piscobamba,2265,3
Ancash,Mariscal Luzuriaga,Casca,2264,3
Ancash,Mariscal Luzuriaga,Eleazar Guzman Barrón,2279,3
Ancash,Mariscal Luzuriaga,Fidel Olivas Escudero,2270,3
Ancash,Mariscal Luzuriaga,Llama,2275,3
Ancash,Mariscal Luzuriaga,Llumpa,2291,3
Ancash,Mariscal Luzuriaga,Llumpa,2289,3
Ancash,Mariscal Luzuriaga,Lucma,2290,3
Ancash,Mariscal Luzuriaga,Musga,2273,3
Ancash,Ocros,Ocros,2460,3
Ancash,Ocros,Acas,2470,3
Ancash,Ocros,Cajamarquilla,2447,3
Ancash,Ocros,Carhuapampa,2480,3
Ancash,Ocros,Cochas,2475,4
Ancash,Ocros,Congas,2530,3
Ancash,Ocros,Llipa,2455,3
Ancash,Ocros,San Cristobal de Rajan,2450,3
Ancash,Ocros,San Pedro,2520,4
Ancash,Ocros,Santiago de Chilcas,2465,3
Ancash,Pallasca,Cabana,2850,3
Ancash,Pallasca,Bolognesi,2830,3
Ancash,Pallasca,Conchucos,2876,3
Ancash,Pallasca,Conchucos,2875,3
Ancash,Pallasca,Huacaschuque,2860,3
Ancash,Pallasca,Huandoval,2855,3
Ancash,Pallasca,Lacabamba,2870,3
Ancash,Pallasca,Llapo,2840,3
Ancash,Pallasca,Pallasca,2835,3
Ancash,Pallasca,Pampas,2866,3
Ancash,Pallasca,Pampas,2865,3
Ancash,Pallasca,Santa Rosa,2825,3
Ancash,Pallasca,Tauca,2845,3
Ancash,Pomabamba,Pomabamba,2262,3
Ancash,Pomabamba,Pomabamba,2260,3
Ancash,Pomabamba,Huayllan,2295,3
Ancash,Pomabamba,Parobamba,2254,3
Ancash,Pomabamba,Parobamba,2250,3
Ancash,Pomabamba,Quinuabamba,2258,3
Ancash,Recuay,Recuay,2403,3
Ancash,Recuay,Recuay,2405,3
Ancash,Recuay,Catac,2410,3
Ancash,Recuay,Cotaparaco,2633,3
Ancash,Recuay,Huayllapampa,2495,3
Ancash,Recuay,Llacllin,2645,3
Ancash,Recuay,Marca,2490,3
Ancash,Recuay,Pampas Chico,2483,3
Ancash,Recuay,Pararín,2640,3
Ancash,Recuay,Tapacocha,2635,3
Ancash,Recuay,Ticapampa,2407,3
Ancash,Santa,Chimbote,2801,4
Ancash,Santa,Chimbote,2802,4
Ancash,Santa,Chimbote,2803,4
Ancash,Santa,Chimbote,2804,4
Ancash,Santa,Chimbote,2800,4
Ancash,Santa,Caceres del Perú,2741,3
Ancash,Santa,Caceres del Perú,2740,3
Ancash,Santa,Coishco,2811,4
Ancash,Santa,Macate,2820,3
Ancash,Santa,Moro,2731,3
Ancash,Santa,Moro,2730,3
Ancash,Santa,Nepeña,2721,4
Ancash,Santa,Nepeña,2720,4
Ancash,Santa,Samanco,2700,4
Ancash,Santa,Santa,2816,4
Ancash,Santa,Santa,2815,4
Ancash,Santa,Nuevo Chimbote,2711,4
Ancash,Santa,Nuevo Chimbote,2712,4
Ancash,Santa,Nuevo Chimbote,2710,4
Ancash,Sihuas,Sihuas,2222,3
Ancash,Sihuas,Sihuas,2220,3
Ancash,Sihuas,Acobamba,2235,3
Ancash,Sihuas,Alfonso Ugarte,2245,3
Ancash,Sihuas,Cashapampa,2225,3
Ancash,Sihuas,Chingalpo,2240,3
Ancash,Sihuas,Huayllabamba,2230,3
Ancash,Sihuas,Quiches,2234,3
Ancash,Sihuas,Ragash,2228,3
Ancash,Sihuas,San Juan,2251,3
Ancash,Sihuas,San Juan,2249,3
Ancash,Sihuas,Sicsibamba,2243,3
Ancash,Yungay,Yungay,2158,3
Ancash,Yungay,Yungay,2160,3
Ancash,Yungay,Cascapara,2145,3
Ancash,Yungay,Mancos,2148,3
Ancash,Yungay,Mancos,2150,3
Ancash,Yungay,Matacoto,2155,3
Ancash,Yungay,Quillo,2676,3
Ancash,Yungay,Quillo,2675,3
Ancash,Yungay,Ranrahirca,2152,3
Ancash,Yungay,Shupluy,2140,3
Ancash,Yungay,Yanama,2163,3
Ancash,Yungay,Yanama,2162,3
Apurimac,Abancay,Abancay,3001,2
Apurimac,Abancay,Abancay,3000,2
Apurimac,Abancay,Chacoche,3405,2
Apurimac,Abancay,Circa,3305,2
Apurimac,Abancay,Curahuasi,3101,2
Apurimac,Abancay,Curahuasi,3100,2
Apurimac,Abancay,Huanipaca,3120,2
Apurimac,Abancay,Lambrama,3301,2
Apurimac,Abancay,Lambrama,3300,2
Apurimac,Abancay,Pichirhua,3400,2
Apurimac,Abancay,San Pedro de Cachora,3110,2
Apurimac,Abancay,Tamburco,3001,2
Apurimac,Abancay,Tamburco,3000,2
Apurimac,Andahuaylas,Andahuaylas,3701,2
Apurimac,Andahuaylas,Andahuaylas,3700,2
Apurimac,Andahuaylas,Andarapa,3741,2
Apurimac,Andahuaylas,Andarapa,3740,2
Apurimac,Andahuaylas,Chiara,3650,3
Apurimac,Andahuaylas,Huancarama,3781,2
Apurimac,Andahuaylas,Huancarama,3780,2
Apurimac,Andahuaylas,Huancaray,3670,2
Apurimac,Andahuaylas,Huayana,3630,3
Apurimac,Andahuaylas,Kishuara,3761,2
Apurimac,Andahuaylas,Kishuara,3760,2
Apurimac,Andahuaylas,Pacobamba,3770,2
Apurimac,Andahuaylas,Pacucha,3731,2
Apurimac,Andahuaylas,Pacucha,3730,2
Apurimac,Andahuaylas,Pampachiri,3600,3
Apurimac,Andahuaylas,Pomacocha,3610,3
Apurimac,Andahuaylas,San Antonio de Cachi,3660,2
Apurimac,Andahuaylas,San Jerónimo,3701,2
Apurimac,Andahuaylas,San Jerónimo,3700,2
Apurimac,Andahuaylas,San Miguel de Chaccrampa,3640,3
Apurimac,Andahuaylas,Santa María de Chicmo,3801,2
Apurimac,Andahuaylas,Santa María de Chicmo,3800,2
Apurimac,Andahuaylas,Talavera,3701,2
Apurimac,Andahuaylas,Talavera,3700,2
Apurimac,Andahuaylas,Tumay Huaraca,3620,3
Apurimac,Andahuaylas,Turpo,3680,2
Apurimac,Andahuaylas,Kaquiabamba,3750,2
Apurimac,Antabamba,Antabamba,3465,3
Apurimac,Antabamba,El Oro,3450,3
Apurimac,Antabamba,Huaquirca,3470,3
Apurimac,Antabamba,Juan Espinoza Medrano,3475,3
Apurimac,Antabamba,Oropesa,3340,3
Apurimac,Antabamba,Pachaconas,3455,3
Apurimac,Antabamba,Sabaino,3460,3
Apurimac,Aymaraes,Chalhuanca,3560,3
Apurimac,Aymaraes,Capaya,3520,3
Apurimac,Aymaraes,Caraybamba,3570,3
Apurimac,Aymaraes,Chapimarca,3425,2
Apurimac,Aymaraes,Colcabamba,3500,2
Apurimac,Aymaraes,Cotaruse,3580,3
Apurimac,Aymaraes,Huayllo,3530,3
Apurimac,Aymaraes,Justo Apu Sahuaraura,3430,3
Apurimac,Aymaraes,Lucre,3415,2
Apurimac,Aymaraes,Pocohuanca,3445,3
Apurimac,Aymaraes,San Juan de Chacña,3420,2
Apurimac,Aymaraes,Sañayca,3550,3
Apurimac,Aymaraes,Soraya,3540,3
Apurimac,Aymaraes,Tapairihua,3435,3
Apurimac,Aymaraes,Tintay,3410,2
Apurimac,Aymaraes,Toraya,3510,3
Apurimac,Aymaraes,Yanaca,3440,3
Apurimac,Cotabambas,Tambobamba,3241,2
Apurimac,Cotabambas,Tambobamba,3240,2
Apurimac,Cotabambas,Cotabambas,3230,2
Apurimac,Cotabambas,Coyllurqui,3221,2
Apurimac,Cotabambas,Coyllurqui,3220,2
Apurimac,Cotabambas,Haquira,3271,2
Apurimac,Cotabambas,Haquira,3270,2
Apurimac,Cotabambas,Mara,3251,2
Apurimac,Cotabambas,Mara,3250,2
Apurimac,Cotabambas,Challhuahuacho,3261,2
