,z
1001,2
1000,2
1230,2
1475,2
1315,2
1220,2
1470,2
1200,2
1441,2
1440,2
1465,2
1400,2
1410,2
1455,2
1320,2
1460,2
1280,2
1210,2
1310,2
1405,2
1305,2
1300,2
1721,2
1720,2
1801,2
1800,2
1711,2
1710,2
1730,2
1811,2
1810,2
1740,2
1741,2
1250,2
1260,2
1110,2
1270,2
1140,2
1151,2
1150,2
1131,2
1130,2
1240,2
1120,2
1600,2
1100,2
1161,2
1160,2
1831,2
1830,2
1821,2
1820,2
1841,2
1840,2
1515,2
1551,2
1550,2
1480,2
1420,2
1530,2
1505,2
1425,2
1500,2
1510,2
1575,2
1430,2
1545,2
1535,2
1486,2
1485,2
1540,2
1520,2
1450,2
1525,2
1435,2
1580,2
1445,2
1415,2
1570,2
1335,2
1380,2
1350,2
1355,2
1370,2
1345,2
1330,2
1375,2
1341,2
1340,2
1360,2
1365,2
1325,3
1621,2
1620,2
1701,2
1700,2
1566,2
1565,2
1631,2
1630,2
1611,2
1610,2
1556,2
1555,2
1560,2
2001,3
2002,3
2000,3
2690,3
2695,3
2607,3
2100,3
2603,3
2400,3
2605,3
2685,3
2600,3
2119,3
2120,3
2610,3
2621,3
2625,4
2613,4
2616,4
2345,2
2340,3
2348,2
2342,2
2352,3
2350,3
2335,3
2318,3
2315,3
2314,3
2413,3
2435,3
2489,3
2420,3
2485,3
2445,3
2500,3
2422,3
2425,3
2415,3
2510,3
2440,3
2441,3
2426,3
2432,3
2430,3
2127,3
2125,3
2123,3
2130,3
2105,3
2139,3
2109,3
2110,3
2113,3
2115,3
2133,3
2135,3
2103,3
2311,3
2310,3
2285,3
2283,3
2280,3
2661,4
2660,4
2670,4
2665,4
2681,4
2680,4
2218,3
2215,3
2205,3
2210,3
2200,3
2209,3
2203,3
2304,3
2303,3
2358,2
2305,3
2396,3
2395,3
2355,2
2380,2
2320,2
2300,3
2324,3
2375,2
2330,3
2325,3
2385,2
2391,3
2390,3
2333,3
2370,2
2651,4
2650,4
2630,3
2655,4
2618,3
2627,3
2167,3
2165,3
2193,3
2175,3
2185,3
2184,3
2181,3
2180,3
2171,3
2170,3
2174,3
2190,3
2195,3
2265,3
2264,3
2279,3
2270,3
2275,3
2291,3
2289,3
2290,3
2273,3
2460,3
2470,3
2447,3
2480,3
2475,4
2530,3
2455,3
2450,3
2520,4
2465,3
2850,3
2830,3
2876,3
2875,3
2860,3
2855,3
2870,3
2840,3
2835,3
2866,3
2865,3
2825,3
2845,3
2262,3
2260,3
2295,3
2254,3
2250,3
2258,3
2403,3
2405,3
2410,3
2633,3
2495,3
2645,3
2490,3
2483,3
2640,3
2635,3
